subNo index mean periodicity nEvents pressedKey answer isCorrect rt reversal s1 s2 s3 s4 s5 s6 s7 s8 s9 s10 s11 s12 s13 s14 s15 s16 s17 s18 s19 s20 t1 t2 t3 t4 t5 t6 t7 t8 t9 t10 t11 t12 t13 t14 t15 t16 t17 t18 t19 seqDuration startInterval trialDuration 
11.0000 1.0000 9.0000 1.0000 4.0000 8 1.0000 1.0000 1.1370 0.0000 11.4955 12.6659 1.9215 5.5675 15.8234 12.9485 12.1805 18.4175 6.5687 9.2825 17.2722 -0.8543 3.2787 4.1604 9.2337 7.2237 10.3171 4.9222 8.6847 9.8353 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5926 2.7378 
11.0000 2.0000 -9.0000 0.0000 3.0000 2 -1.0000 1.0000 1.0170 0.0000 -5.6911 -1.2172 -8.8545 -9.6394 -8.5302 -0.3442 -16.1392 -6.8312 -14.3848 -11.2495 -6.6253 -0.2809 -8.5601 -20.0687 -8.1919 -7.9464 -10.8557 -11.2652 -12.7371 -10.6698 0.3865 0.3158 0.3878 0.3542 0.2525 0.3021 0.4942 0.2826 0.2391 0.3737 0.2073 0.3651 0.2075 0.3509 0.3123 0.4332 0.2072 0.5075 0.3512 6.3307 1.6936 2.7177 
11.0000 3.0000 -9.0000 1.0000 3.0000 2 -1.0000 1.0000 0.8060 0.0000 -10.6042 -14.4579 1.3972 -8.0172 -12.1480 -3.5101 -9.0319 -2.1491 -8.5949 -5.7755 -14.1590 -7.6805 -11.9238 -19.0446 -12.7094 -7.7081 -1.6880 -9.4345 -14.3292 -8.9451 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5638 2.3728 
11.0000 4.0000 9.0000 1.0000 4.0000 8 1.0000 1.0000 1.1770 0.0000 5.3111 17.3330 2.3636 4.5608 11.5966 12.0145 3.7694 18.1622 11.2297 11.2959 13.5900 8.6554 7.8108 9.5010 1.0670 2.8868 6.3417 5.5375 16.3728 11.2477 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5651 2.7443 
11.0000 5.0000 -9.0000 1.0000 3.0000 2 -1.0000 1.0000 0.7940 0.0000 -11.8413 -6.5138 -4.3713 -11.1295 -13.4452 -11.8643 -1.1994 -11.6658 -12.5544 -8.0353 -8.7355 -19.8807 -17.5348 -0.9919 -8.6284 -7.6046 -5.9938 -3.6185 -5.4694 -7.0766 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5086 2.3115 
11.0000 6.0000 -9.0000 0.0000 2.0000 2 -1.0000 1.0000 0.7480 0.0000 -7.4097 -2.4687 -5.5512 -8.6004 2.8008 -6.0455 -6.4088 -10.3452 -15.2251 -17.9756 -16.5639 -5.5280 -7.8764 -14.8423 -9.6242 -9.5206 -9.4278 -10.6040 -4.6812 -12.9443 0.4058 0.4573 0.2489 0.3163 0.4078 0.2772 0.2456 0.4360 0.2849 0.3279 0.2946 0.4616 0.3711 0.2416 0.3693 0.3394 0.2517 0.2208 0.3720 6.3300 1.4223 2.1821 
11.0000 7.0000 7.0000 0.0000 4.0000 8 1.0000 1.0000 0.9890 0.0000 9.8985 8.4993 4.0062 3.7066 15.1204 6.4415 1.8677 11.2114 3.8261 12.8043 0.3262 8.8801 -0.2109 2.4260 8.9407 16.6356 13.7199 3.8666 4.4949 4.3677 0.2622 0.2935 0.2586 0.4149 0.3388 0.4541 0.2111 0.3225 0.3998 0.2946 0.2358 0.3466 0.5266 0.3914 0.4421 0.2999 0.2704 0.2162 0.3518 6.3309 1.4819 2.4732 
11.0000 8.0000 -5.0000 1.0000 3.0000 2 -1.0000 1.0000 0.7810 0.0000 -2.2252 -9.3998 -19.8602 -2.5864 -7.4845 -13.8640 -4.6812 -2.9794 2.2969 -2.8675 -0.0412 -7.0629 -2.7854 -6.6794 -2.8183 -2.7696 -6.4343 -1.7225 -3.7712 -2.8507 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.7295 2.5156 
11.0000 9.0000 5.0000 0.0000 4.0000 8 1.0000 1.0000 0.9990 0.0000 1.9716 3.4757 9.5942 8.3101 4.6441 1.5048 -1.8209 7.5835 -6.2039 -0.0683 4.1903 8.7136 9.2682 13.3180 1.9113 8.7048 -0.1993 9.5934 3.9171 10.2467 0.3887 0.3530 0.2158 0.2691 0.4507 0.3616 0.2702 0.2319 0.3525 0.3179 0.3638 0.4791 0.4291 0.2376 0.2777 0.5312 0.2422 0.2007 0.3533 6.3261 1.4928 2.4998 
11.0000 10.0000 -3.0000 0.0000 3.0000 2 -1.0000 1.0000 0.8270 0.0000 -1.2019 -13.9125 0.1116 -2.1151 -1.7528 2.5009 -1.2090 -6.6469 5.5714 -3.1667 -1.8676 -0.3124 3.4571 3.6373 -7.0745 -7.9102 -4.1946 -10.5075 -9.1926 -5.0732 0.2656 0.3429 0.2216 0.2533 0.3537 0.2850 0.2129 0.2617 0.2897 0.4955 0.4634 0.4055 0.2222 0.4634 0.3423 0.4975 0.3194 0.2821 0.3396 6.3172 1.4234 2.2438 
11.0000 11.0000 1.0000 1.0000 6.0000 8 1.0000 1.0000 1.8760 0.0000 0.9254 1.5651 -12.6382 3.4454 5.2514 1.1638 -2.4709 9.5802 -1.2540 3.7686 7.1373 -4.1162 -5.6928 5.5936 -1.5614 5.5024 -2.1089 2.6677 4.1243 -0.4425 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.4809 3.3600 
11.0000 12.0000 -1.0000 0.0000 7.0000 8 1.0000 0.0000 1.8580 1.0000 -1.4895 1.1223 -8.3510 3.8510 2.4864 -2.4328 -4.4369 -5.5384 -1.4749 1.5716 2.1562 -2.3629 5.2407 -10.9474 2.9818 6.6276 -3.8864 -1.7144 6.3959 -8.0028 0.2155 0.3253 0.5200 0.2212 0.2762 0.2114 0.2661 0.4951 0.4348 0.2111 0.3858 0.4334 0.3455 0.2203 0.4821 0.2017 0.3697 0.3176 0.3963 6.3292 1.6118 3.4917 
11.0000 13.0000 1.9900 0.0000 4.0000 8 1.0000 1.0000 0.9730 2.0000 6.0322 8.2913 0.7170 -0.8828 3.4740 -2.8209 -0.9191 4.9770 10.7621 2.1122 5.4375 2.9035 -3.4074 5.9502 4.2880 -0.1869 2.9635 -12.9286 0.4279 1.5916 0.2649 0.2101 0.4776 0.2347 0.3667 0.4037 0.2626 0.3961 0.2925 0.2194 0.5152 0.3974 0.2722 0.3838 0.2037 0.2722 0.3522 0.5011 0.3030 6.3291 1.4673 2.4573 
11.0000 14.0000 1.6600 0.0000 4.0000 8 1.0000 1.0000 1.0060 2.0000 4.3227 4.5769 -0.0486 -0.3146 4.7308 -6.4019 1.7138 -0.1399 2.3951 -3.4146 10.8261 5.3001 7.0952 6.6921 -1.3606 2.7953 -6.4751 -3.7140 -4.8073 7.7141 0.3277 0.4247 0.2135 0.3830 0.3034 0.4213 0.2213 0.5024 0.3612 0.2257 0.3565 0.5315 0.2693 0.3650 0.2382 0.3411 0.2395 0.2852 0.3181 6.3286 1.7011 2.7237 
11.0000 15.0000 -1.3300 1.0000 3.0000 2 -1.0000 1.0000 0.8690 2.0000 -3.9002 -4.0765 5.5091 10.0355 -3.8117 -3.4830 -2.7004 0.3474 1.9592 -6.1741 -0.3871 2.4316 -1.3424 -7.5850 -2.4924 -0.1872 5.3460 1.8003 -6.2379 -11.7564 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.4575 2.3363 
11.0000 16.0000 -1.3300 1.0000 3.0000 2 -1.0000 1.0000 0.8730 2.0000 -3.4073 -7.3564 -0.5290 5.7353 -4.1285 -4.7717 -2.0263 12.4143 -10.1027 -0.2588 3.6185 -1.9631 -0.5045 1.4260 -2.1830 0.2695 -4.9883 -5.7962 1.8666 -2.7445 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6325 2.5234 
11.0000 17.0000 -1.3300 1.0000 6.0000 8 1.0000 0.0000 1.6740 2.0000 -1.7456 -0.6714 3.1914 -8.0113 -0.1047 0.7693 3.1942 -7.8415 1.5883 -2.1385 -2.0323 -10.4166 6.9825 -1.6841 3.7419 -2.2234 -2.0567 -6.0091 7.7066 -8.8977 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5352 3.2249 
11.0000 18.0000 -1.3300 0.0000 4.0000 2 -1.0000 1.0000 0.9530 2.0000 -0.2540 -1.2053 -0.3482 -13.5118 0.5131 3.9910 0.6949 0.8058 3.5477 -5.4726 10.9171 -2.9442 -0.3573 -4.1568 -0.4442 -1.2973 -7.3044 -7.7081 -0.7413 -1.0783 0.2561 0.3415 0.3106 0.2678 0.3089 0.2426 0.3735 0.2298 0.3850 0.4190 0.4704 0.2816 0.2436 0.4724 0.2633 0.4408 0.3210 0.4080 0.2962 6.3323 1.6384 2.6033 
11.0000 19.0000 -1.0000 1.0000 4.0000 2 -1.0000 1.0000 1.1740 2.0000 -3.4078 -9.9258 4.7436 1.1024 3.9330 -6.7952 -2.9401 0.6001 -2.4628 3.1583 -3.8989 -5.5781 -0.9032 -4.9623 -9.3410 9.2534 2.2180 4.7886 -2.0071 3.7509 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6323 2.8078 
11.0000 20.0000 -1.0000 1.0000 3.0000 8 1.0000 0.0000 0.9950 2.0000 2.6583 -2.8884 4.5065 -1.2942 2.9573 -9.9085 6.1643 7.4653 -4.7746 -3.1958 -2.7256 -0.2415 -5.0117 -4.5400 5.9796 -1.7033 3.6784 -7.5033 -3.7006 -7.3503 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6477 2.6460 
11.0000 21.0000 1.0000 1.0000 3.0000 8 1.0000 1.0000 0.9740 2.0000 3.7063 2.4038 -4.7358 3.3093 -3.0164 -4.8934 -3.9068 2.8152 9.5793 11.6003 8.0155 0.7651 1.2527 0.3419 -3.0189 -2.8111 -1.4169 7.6168 -0.7028 -6.0305 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.4147 2.3910 
11.0000 22.0000 1.0000 0.0000 3.0000 8 1.0000 1.0000 1.2120 2.0000 -1.6363 -4.1034 -8.7212 8.3655 6.2774 8.6067 2.3601 3.2379 1.4684 0.9881 3.5753 1.3596 1.4121 3.7874 -1.8850 -0.6373 2.3123 -10.6479 -0.0897 5.7416 0.4870 0.4052 0.3660 0.2121 0.2676 0.3082 0.4408 0.4109 0.2253 0.2691 0.4193 0.5075 0.2798 0.2326 0.2816 0.2460 0.3148 0.3561 0.3000 6.3299 1.5979 2.8128 
11.0000 23.0000 -0.6700 1.0000 3.0000 8 1.0000 0.0000 0.7920 2.0000 4.2289 -6.7658 -9.4615 0.8903 0.7725 -0.4276 -3.6005 1.8870 -3.3798 7.9123 0.8795 -5.0319 0.2011 5.6604 -7.0814 -4.6311 -2.8855 -5.7607 7.6284 4.3167 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6946 2.4923 
11.0000 24.0000 0.6700 0.0000 3.0000 8 1.0000 1.0000 1.2480 2.0000 4.2514 0.6557 0.0319 13.8250 -0.4044 6.5615 0.6139 -2.8306 -7.4064 3.2773 -0.7515 -3.8095 6.6814 -3.1359 -0.9343 -4.1438 4.9313 -0.2784 3.1080 -4.9679 0.5280 0.3220 0.4120 0.2522 0.4850 0.2043 0.3517 0.2539 0.4056 0.2563 0.3406 0.2334 0.3321 0.2436 0.2952 0.4078 0.3106 0.2222 0.4789 6.3354 1.5620 2.8157 
11.0000 25.0000 0.3400 0.0000 5.0000 8 1.0000 1.0000 1.6060 2.0000 -3.1619 4.5112 -7.1753 1.1282 6.9266 -2.9604 -2.0665 9.5183 -0.4132 -3.2914 -1.2252 -3.9344 -1.4195 2.4826 -1.1147 -9.3883 0.7473 2.2910 4.0967 9.9384 0.5050 0.3251 0.2790 0.2006 0.3744 0.2271 0.4053 0.2305 0.3047 0.4139 0.2065 0.4340 0.3909 0.4380 0.2494 0.4732 0.3604 0.2851 0.2334 6.3364 1.5186 3.1397 
11.0000 26.0000 -0.0100 1.0000 5.0000 8 1.0000 0.0000 1.4240 2.0000 2.2612 7.9836 7.9780 1.7497 -9.7703 3.6013 0.1848 0.8162 2.9487 4.1978 -6.5586 -1.5846 0.6918 -5.8368 4.3358 2.6868 -1.0365 -8.5428 -3.6559 -2.8413 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5323 2.9746 
11.0000 27.0000 0.0100 0.0000 4.0000 8 1.0000 1.0000 1.2940 2.0000 0.1649 -8.5938 -0.3369 -2.5750 -3.7837 7.4047 8.1765 -0.6922 -0.5939 -1.6543 8.7503 -9.1588 -0.7947 0.5599 2.9297 -2.3177 -1.1625 2.1191 8.0115 -4.8160 0.2427 0.2172 0.4412 0.4087 0.2330 0.2828 0.4707 0.4312 0.3574 0.2103 0.3491 0.2847 0.2335 0.4760 0.4025 0.2928 0.4212 0.3243 0.2465 6.3257 1.6890 2.9947 
11.0000 28.0000 -0.0000 1.0000 5.0000 8 1.0000 1.0000 1.5370 2.0000 -3.0647 7.4813 -1.4876 -0.1010 -10.6204 -2.5193 5.6868 0.1970 -5.7387 5.3713 1.5248 -2.9313 5.4543 -4.8127 4.0782 8.5419 -4.0715 -0.0091 -4.7308 0.9643 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.4717 3.0212 
11.0000 29.0000 0.0000 1.0000 7.0000 8 1.0000 0.0000 2.1920 2.0000 -1.3336 -9.2596 -4.0859 6.2502 9.7967 1.4124 6.1322 -1.1167 5.1513 1.1285 -1.1960 1.0818 -2.8627 -5.9664 1.5109 4.8317 -1.5667 0.2697 1.4606 -10.4417 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.7066 3.9099 
11.0000 30.0000 -0.0000 1.0000 5.0000 8 1.0000 0.0000 1.5090 2.0000 -3.7112 0.4704 5.5944 -2.6853 -1.6108 -0.9881 -1.7170 -5.4291 9.3611 -9.0892 -2.4253 1.0611 7.3978 4.3781 -4.2382 6.2660 -6.5283 5.6527 -2.9738 2.9306 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.4158 2.9434 
11.0000 31.0000 0.0000 0.0000 9.0000 8 1.0000 1.0000 2.8160 2.0000 0.2439 1.6355 -3.2033 2.4232 -8.1641 -0.4685 -0.5298 -4.9181 7.9396 -0.1327 8.4653 1.7639 9.5799 -8.4137 -4.9338 -0.2993 -4.1656 -1.3679 4.6964 -0.7340 0.2946 0.4984 0.2846 0.3797 0.2540 0.3087 0.4377 0.2172 0.5174 0.3888 0.2473 0.3100 0.2001 0.2929 0.2317 0.3600 0.2019 0.5325 0.3761 6.3335 1.4972 4.3167 
11.0000 32.0000 -0.0000 1.0000 5.0000 8 1.0000 1.0000 1.6180 2.0000 0.6217 10.8161 7.7866 -1.9977 -3.8657 -0.0426 -0.4022 3.0860 -5.9260 -8.5228 -0.5754 -0.4842 -2.1653 0.0276 7.0810 -5.4239 2.3433 -0.0670 -6.3337 4.3029 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.7016 3.3190 
11.0000 33.0000 0.0000 0.0000 9.0000 2 -1.0000 1.0000 2.7940 2.0000 1.0841 -11.2578 -5.6493 4.3894 -4.4682 1.1174 -0.1557 5.5547 3.0241 6.1852 5.0400 3.2791 -1.9482 5.9687 -2.3619 0.8070 -10.9706 1.6473 -0.3389 0.8347 0.5041 0.4425 0.3350 0.2244 0.2874 0.2045 0.3652 0.2529 0.3204 0.2807 0.3795 0.4879 0.2108 0.3610 0.2673 0.2025 0.3681 0.5223 0.3114 6.3279 1.7240 4.5282 
11.0000 34.0000 0.0000 0.0000 9.0000 8 1.0000 1.0000 2.9410 2.0000 2.7209 -2.2231 -5.1188 -5.3856 0.2787 0.5630 -4.8934 -4.4878 -0.7764 6.7291 9.9646 -0.6464 -3.8800 -5.6749 -5.4998 6.0230 -3.4562 3.8925 1.4214 9.5596 0.4341 0.2828 0.2152 0.5174 0.3432 0.2747 0.4185 0.3917 0.2468 0.2019 0.3174 0.2257 0.2985 0.4573 0.3648 0.2639 0.4966 0.2289 0.3385 6.3179 1.5949 4.5417 
