subNo index block level mean periodicity nEvents pressedKey answer isCorrect rt s1 s2 s3 s4 s5 s6 s7 s8 s9 s10 s11 s12 s13 s14 s15 s16 s17 s18 s19 s20 t1 t2 t3 t4 t5 t6 t7 t8 t9 t10 t11 t12 t13 t14 t15 t16 t17 t18 t19 seqDuration startInterval trialDuration 
16.0000 9.0000 1.0000 -2.0000 -4.0400 0.0000 8.0000 8 -1.0000 1.0000 2.5180 -2.4870 -3.7175 -1.3339 -4.7512 -11.8778 -0.1115 -1.7313 2.5505 -2.1954 -2.7176 -7.7599 -10.9146 -15.2256 -0.6526 -12.7173 -2.1999 0.7052 2.6102 -4.0169 -4.1665 0.2135 0.3783 0.3336 0.4904 0.2305 0.4552 0.2848 0.4170 0.2338 0.3488 0.2921 0.5218 0.2153 0.2488 0.4133 0.3686 0.2777 0.3637 0.2382 6.3252 1.4636 3.9854 
16.0000 30.0000 1.0000 -2.0000 -4.0400 1.0000 11.0000 8 -1.0000 1.0000 3.5750 -2.2999 -0.8306 -3.2634 -6.4712 0.1826 1.6587 -7.1588 -0.5019 -7.6389 -9.2313 -10.1554 -4.5886 -5.8314 -5.7425 -5.0490 10.5729 -11.7000 -5.0010 -0.9220 -8.3231 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.7028 5.2927 
16.0000 6.0000 1.0000 2.0000 4.0400 1.0000 9.0000 2 1.0000 1.0000 2.6960 7.4308 5.7545 -2.5138 -4.1914 -3.5735 6.6885 5.9965 -3.6339 5.3751 6.4091 11.3958 1.3088 6.4591 -3.8376 6.9101 5.3667 3.1253 12.8573 4.0277 7.9212 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5830 4.2972 
16.0000 54.0000 1.0000 1.0000 2.0200 0.0000 11.0000 2 1.0000 1.0000 3.5980 -0.1292 1.4857 7.3828 -5.0106 -6.3998 -4.9381 0.4899 -1.4680 9.4600 7.9806 12.8831 -1.3520 6.5384 2.5064 2.2531 2.8521 1.6415 -1.6671 3.8287 3.8252 0.3637 0.2531 0.5254 0.2450 0.2025 0.5132 0.3059 0.3722 0.2264 0.3440 0.2565 0.3385 0.2211 0.4507 0.3924 0.2793 0.3906 0.2927 0.3530 6.3263 1.4421 5.0487 
16.0000 55.0000 1.0000 2.0000 4.0400 0.0000 9.0000 2 1.0000 1.0000 2.9670 6.2125 6.4041 -4.0165 4.8816 7.8204 -6.0169 8.7511 -4.6293 4.7842 3.2797 2.9206 7.3244 13.3773 3.3302 6.8553 8.7425 0.3084 -1.6813 7.7762 3.8658 0.4284 0.2232 0.2513 0.3954 0.2569 0.4775 0.2605 0.2047 0.4699 0.3831 0.2023 0.4453 0.2426 0.4160 0.2800 0.4238 0.5153 0.2057 0.2439 6.3257 1.6216 4.6010 
16.0000 5.0000 1.0000 1.0000 2.0200 1.0000 8.0000 2 1.0000 1.0000 2.3630 7.0054 5.9971 -0.5135 5.4583 2.8201 -2.7470 2.9044 8.6654 7.7437 7.9108 1.7000 1.1209 -3.7692 2.7438 5.8625 3.4483 -6.2874 -1.7519 -9.1387 0.4250 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5533 3.9308 
16.0000 19.0000 1.0000 1.0000 2.0200 1.0000 11.0000 2 1.0000 1.0000 3.4620 6.4811 -7.2576 -0.1243 7.0797 -2.3605 -7.3785 0.1324 14.5649 -0.7467 6.0833 7.0515 2.2673 2.3232 2.5331 3.1612 3.8289 -0.3581 -1.0204 3.1035 0.5564 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.4552 4.9297 
16.0000 48.0000 1.0000 2.0000 4.0400 1.0000 8.0000 2 1.0000 1.0000 2.5370 7.1671 8.0735 0.6170 1.6144 10.4038 2.3757 13.0493 5.0798 -0.1143 7.6240 7.9796 0.1849 6.4010 7.3426 -3.2677 5.3171 5.9843 -3.7416 -6.8452 6.4978 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6031 4.1542 
16.0000 43.0000 1.0000 -4.0000 -8.0800 1.0000 9.0000 8 -1.0000 1.0000 2.9490 -12.3371 -4.5768 -0.6551 -17.3448 -8.1794 -5.9851 -6.4474 -6.7609 -7.3080 -10.3507 -5.1968 -9.3479 -15.9248 -6.1364 -3.7699 -11.6399 -14.9360 -10.8601 -8.2214 2.4950 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5075 4.4664 
16.0000 65.0000 1.0000 -2.0000 -4.0400 0.0000 6.0000 8 -1.0000 1.0000 1.8430 -5.1989 -13.6362 -5.5462 1.3771 -1.7843 -10.2457 0.0678 -3.6912 3.5559 -0.2592 -3.5996 -8.6736 -4.8703 -0.8568 -7.6585 -2.9273 -10.4303 -2.5032 5.8457 -9.5660 0.2608 0.2121 0.3972 0.3154 0.2027 0.5200 0.4613 0.3218 0.5000 0.2745 0.4731 0.2066 0.3360 0.2077 0.2402 0.2882 0.4507 0.2905 0.3784 6.3370 1.5481 3.3938 
16.0000 11.0000 1.0000 0.0000 0.0000 0.0000 9.0000 8 -1.0000 1.0000 2.8110 -2.6235 0.5370 -4.9255 -0.3159 -6.9198 4.7041 3.0782 -4.3620 3.4152 -6.6627 2.9314 6.9112 -2.4172 -4.8318 -3.3609 -6.8167 9.9450 2.3096 7.3323 1.5451 0.2851 0.2487 0.3257 0.4823 0.3563 0.2912 0.4220 0.2028 0.4064 0.2071 0.3012 0.4630 0.3093 0.2143 0.5220 0.2443 0.3563 0.4925 0.2018 6.3323 1.7199 4.5288 
16.0000 47.0000 1.0000 1.0000 2.0200 1.0000 9.0000 2 1.0000 1.0000 2.7640 5.2405 -7.4565 -5.6132 10.6464 4.3739 1.6707 3.2272 2.7352 0.8145 1.0209 8.7850 -2.9020 -3.1585 3.6604 7.6673 3.9353 -6.0917 2.4795 7.3772 0.9985 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.7166 4.4811 
16.0000 67.0000 1.0000 0.0000 0.0000 0.0000 8.0000 8 -1.0000 0.0000 2.6980 0.4529 -5.0008 3.0989 0.0255 1.3586 -5.9434 -5.5218 -5.6786 7.9540 0.0723 8.4997 2.7229 7.9115 -1.9281 -8.7335 4.7100 -3.2305 0.0596 1.2640 -2.5855 0.2442 0.4650 0.3342 0.2593 0.3684 0.2272 0.4775 0.3935 0.4218 0.2026 0.2578 0.3604 0.4086 0.2592 0.4490 0.3921 0.2848 0.3148 0.2125 6.3329 1.5398 4.2491 
16.0000 1.0000 1.0000 -4.0000 -8.0800 1.0000 9.0000 8 -1.0000 1.0000 2.7330 -8.4517 0.7102 -6.8456 -14.8042 -10.7399 -6.7568 -5.6616 -2.0712 -8.4867 -13.3403 -4.4994 -2.3186 -9.5210 -12.4685 -4.5542 -13.0237 -13.1296 -3.7903 -4.1876 -18.5818 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6026 4.3504 
16.0000 7.0000 1.0000 4.0000 8.0800 1.0000 7.0000 2 1.0000 1.0000 2.2190 3.7771 7.3626 -3.0548 7.4707 8.8722 1.6204 9.9736 2.8289 14.7094 10.9673 8.7230 15.3706 6.7786 9.9794 11.8381 6.4735 4.7246 8.0324 6.3355 19.6573 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.4588 3.6861 
16.0000 34.0000 1.0000 2.0000 4.0400 1.0000 9.0000 2 1.0000 1.0000 2.9380 6.3805 9.0701 -1.6286 -0.2129 1.1142 3.6586 1.9191 4.6595 10.5111 -7.1270 2.1464 7.5035 6.6539 9.6207 10.8958 1.1447 4.3731 -2.4416 1.3947 11.0870 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6360 4.5884 
16.0000 26.0000 1.0000 1.0000 2.0200 0.0000 7.0000 2 1.0000 1.0000 2.2120 0.2409 6.1536 -0.4987 1.4827 -7.6092 4.7632 2.6905 5.0121 6.5755 6.1385 -7.7107 1.5588 -2.6292 7.7713 7.8366 -2.5748 8.2935 -3.7687 5.5245 0.1356 0.3136 0.3912 0.3638 0.2860 0.3354 0.2476 0.3353 0.2995 0.3621 0.3880 0.4149 0.3141 0.3518 0.2362 0.4000 0.2626 0.3891 0.2849 0.3427 6.3188 1.6936 3.9131 
16.0000 12.0000 1.0000 1.0000 2.0200 0.0000 11.0000 2 1.0000 1.0000 3.5080 1.8353 2.7226 -6.8839 -1.0761 4.5242 -1.3751 -3.2543 9.3429 1.6361 -3.7987 5.7342 -0.5827 14.8556 -0.8658 2.5079 4.6150 -2.5666 4.0517 4.6286 5.6515 0.5078 0.2150 0.4293 0.2156 0.4467 0.3227 0.5273 0.2312 0.2623 0.2364 0.2067 0.2760 0.5032 0.3427 0.2240 0.3187 0.2820 0.3526 0.4180 6.3181 1.6850 5.2089 
16.0000 40.0000 1.0000 1.0000 2.0200 0.0000 8.0000 2 1.0000 1.0000 2.3550 2.1097 1.9699 4.9815 1.9374 6.7452 -8.1625 -0.9768 3.3751 7.9207 -3.9154 2.8728 -3.4173 -0.8292 8.2166 1.2126 13.8100 -2.5403 4.0678 3.0995 -2.4339 0.3928 0.2860 0.3129 0.3634 0.2715 0.2165 0.3163 0.2884 0.2150 0.4485 0.2209 0.2808 0.5068 0.4517 0.2772 0.2500 0.4355 0.4994 0.2851 6.3186 1.6287 3.9888 
16.0000 18.0000 1.0000 0.0000 0.0000 1.0000 10.0000 8 -1.0000 0.0000 3.1540 -3.8497 -7.4425 -9.6521 3.5734 -3.4664 -6.3694 6.1631 -0.0072 -3.5379 -2.8149 1.9644 4.0755 1.8069 4.7258 3.6491 3.4011 4.6808 8.7739 -0.1819 -4.3989 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5799 4.7379 
16.0000 58.0000 1.0000 -2.0000 -4.0400 1.0000 7.0000 8 -1.0000 1.0000 2.0540 -5.2890 -5.7538 -1.8984 0.7516 -7.8193 -7.4718 3.4633 1.1221 -12.9114 -2.5687 -10.4907 -0.5076 -2.0270 -3.5152 0.6146 -4.5063 -12.8962 -8.1408 4.5009 -4.4169 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6134 3.6714 
16.0000 70.0000 1.0000 4.0000 8.0800 0.0000 7.0000 2 1.0000 1.0000 2.3010 8.7412 4.1375 5.6387 6.6474 11.9939 15.4844 9.4769 8.6002 7.6230 15.1665 1.7887 10.3741 9.1781 6.9802 13.2148 -4.5155 9.1830 2.5550 13.9483 4.7206 0.3558 0.2309 0.2991 0.4630 0.3615 0.2055 0.4997 0.3084 0.3651 0.2508 0.2932 0.4594 0.2459 0.5264 0.2032 0.2680 0.2194 0.4756 0.3014 6.3321 1.5071 3.8184 
16.0000 66.0000 1.0000 -1.0000 -2.0200 0.0000 9.0000 8 -1.0000 1.0000 2.9560 0.5078 4.6475 3.2156 -1.1293 -7.1437 -0.6575 -4.9482 -7.9132 3.4334 -1.7983 -0.7794 6.6048 -4.1765 -9.9396 -7.8980 -2.7540 5.3946 -3.0102 -2.0589 -9.4550 0.3619 0.3908 0.3310 0.2633 0.4341 0.3239 0.4573 0.3312 0.3657 0.2168 0.2434 0.2856 0.4351 0.2455 0.4508 0.2455 0.3761 0.2947 0.2663 6.3188 1.5327 4.4902 
16.0000 45.0000 1.0000 -1.0000 -2.0200 1.0000 7.0000 8 -1.0000 1.0000 2.2120 -0.9894 -7.2171 -6.8629 -1.2477 -7.2509 -0.7639 3.3751 -11.9318 -3.3499 2.2599 5.3889 -2.9678 7.1616 -6.5077 -3.3973 2.2893 0.1171 4.4319 -5.6178 -5.6700 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6010 3.8294 
16.0000 62.0000 1.0000 2.0000 4.0400 1.0000 7.0000 2 1.0000 1.0000 2.1530 3.3290 9.6264 6.5524 7.0725 7.3823 9.2187 6.5885 -4.2981 2.7809 6.4213 -1.1325 2.9215 12.3836 -5.6492 8.9946 4.6670 6.7235 -4.8412 2.9574 0.3826 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5796 3.7536 
16.0000 41.0000 1.0000 2.0000 4.0400 0.0000 8.0000 2 1.0000 1.0000 2.4230 3.4909 9.3121 -8.0040 2.6161 4.5381 5.6643 14.4615 0.9315 0.5812 7.8983 3.9755 6.0094 -2.1243 3.8889 9.6843 1.4465 9.9189 5.4727 3.8544 -1.6473 0.4750 0.3433 0.2089 0.3760 0.2251 0.2956 0.2595 0.3154 0.2192 0.4955 0.2613 0.2249 0.4907 0.2513 0.3253 0.2829 0.3644 0.4109 0.5091 6.3342 1.5836 4.0236 
16.0000 23.0000 1.0000 -2.0000 -4.0400 0.0000 6.0000 8 -1.0000 1.0000 1.7820 -1.8388 -8.7283 -7.3027 -0.9143 -8.0372 -3.4013 -5.7025 -8.6718 2.4002 -5.4258 -12.5106 -7.6470 -7.0378 -11.0536 -2.5702 -1.6864 -0.9536 0.4618 3.2354 6.3449 0.2214 0.4362 0.3223 0.2576 0.4335 0.3232 0.2793 0.3871 0.5038 0.4421 0.2501 0.2130 0.4438 0.2097 0.4090 0.2504 0.2112 0.4062 0.3278 6.3276 1.4216 3.2165 
16.0000 56.0000 1.0000 4.0000 8.0800 0.0000 5.0000 2 1.0000 1.0000 1.5230 4.6071 -0.0588 12.9902 13.6340 4.6354 8.6977 4.5648 12.5705 0.0466 8.4657 4.6147 10.4686 7.8768 17.6563 7.4057 9.0064 6.9356 1.1779 10.8800 15.2885 0.2470 0.3718 0.2574 0.3074 0.5275 0.2216 0.5087 0.2950 0.2041 0.3237 0.4491 0.3096 0.2418 0.3932 0.2856 0.2462 0.2720 0.4946 0.3728 6.3290 1.4419 2.9732 
16.0000 22.0000 1.0000 -4.0000 -8.0800 0.0000 6.0000 8 -1.0000 1.0000 1.7470 -3.5380 -13.3878 -14.8942 -6.8672 -5.1432 -2.5977 2.2438 -9.9309 -11.5721 -8.5663 -6.7636 -9.5118 -14.1792 1.4047 -11.5882 -14.8430 -9.7535 -12.3698 -4.7985 -5.5220 0.3871 0.2854 0.3223 0.2932 0.3582 0.2812 0.3267 0.2402 0.3717 0.3079 0.4340 0.2681 0.3938 0.2320 0.3927 0.2619 0.4925 0.2704 0.4034 6.3229 1.6433 3.3976 
16.0000 64.0000 1.0000 -4.0000 -8.0800 0.0000 7.0000 8 -1.0000 1.0000 1.7340 -7.6347 -8.9541 -10.9595 -2.4529 -8.9093 -6.6061 -2.8691 -8.7111 -4.6933 -16.3558 -14.6670 -6.9759 -6.6191 -5.9424 -8.4711 -6.3891 1.9271 -6.7263 -6.8131 -20.8827 0.3570 0.2295 0.2584 0.2160 0.2785 0.2438 0.4149 0.4585 0.2557 0.2088 0.3191 0.2334 0.5052 0.3700 0.4272 0.5138 0.3404 0.4439 0.2619 6.3361 1.4501 3.1851 
16.0000 59.0000 1.0000 -1.0000 -2.0200 1.0000 9.0000 8 -1.0000 1.0000 2.7650 1.9977 -4.7337 -4.7978 0.3288 2.9046 3.0367 -2.8724 -7.9549 -6.0938 1.9222 -7.8831 -1.1731 -3.3234 1.6075 8.1744 -9.4652 -3.6777 -6.4968 4.6398 -8.3326 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.4719 4.2485 
16.0000 49.0000 1.0000 4.0000 8.0800 1.0000 5.0000 2 1.0000 1.0000 1.6430 7.1749 8.2431 -3.4529 11.1331 12.8423 10.6482 9.2118 7.5015 13.1047 1.1071 3.6116 7.4334 14.9531 7.0536 2.5978 7.1091 10.5284 9.8223 3.9837 17.7342 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5729 3.2274 
16.0000 42.0000 1.0000 4.0000 8.0800 0.0000 5.0000 2 1.0000 1.0000 1.3410 8.4769 11.2668 0.2448 8.3142 4.3837 16.1484 1.3044 13.5202 3.7775 11.2191 1.7896 2.4447 9.9341 8.9780 2.7598 18.3970 10.6183 10.5413 9.7541 7.0985 0.2117 0.2836 0.2452 0.4900 0.2488 0.5151 0.3364 0.2293 0.3073 0.3733 0.2741 0.4331 0.4837 0.3831 0.3488 0.2777 0.3081 0.2628 0.3093 6.3214 1.6691 3.0080 
16.0000 4.0000 1.0000 0.0000 0.0000 1.0000 7.0000 8 -1.0000 1.0000 2.1580 -2.5780 -3.3413 10.9050 -2.4290 -3.4091 -3.5350 3.4107 -1.1125 1.5422 1.0471 6.6941 -9.3489 -4.8629 -5.9850 -5.5892 4.2694 2.2076 6.1383 4.6642 0.6825 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.4048 3.5587 
16.0000 33.0000 1.0000 1.0000 2.0200 1.0000 11.0000 8 -1.0000 0.0000 3.3410 -0.1937 7.0821 -6.1874 7.5563 6.4051 -3.0190 -1.4081 1.3312 10.5309 -1.2783 1.2849 3.7586 9.4709 3.0343 4.5436 -1.0076 6.9192 -5.6836 1.9013 -4.7074 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5244 4.8746 
16.0000 39.0000 1.0000 0.0000 0.0000 0.0000 5.0000 2 1.0000 1.0000 1.4760 4.7716 1.7302 10.0174 4.2944 -4.2552 -4.4525 -1.8748 -1.9392 2.2294 0.2425 -1.4713 -10.6097 2.8397 -1.4694 1.5730 -2.3560 -6.5719 9.0031 0.9746 -2.7203 0.2349 0.2613 0.4719 0.3081 0.2142 0.5179 0.2644 0.3613 0.2808 0.4295 0.2979 0.5320 0.2087 0.3599 0.4293 0.2008 0.2502 0.3719 0.3418 6.3368 1.6252 3.1097 
16.0000 57.0000 1.0000 -4.0000 -8.0800 1.0000 6.0000 8 -1.0000 1.0000 1.9080 -6.1753 -12.5722 -13.3224 -2.0961 -7.4587 -13.7239 0.9534 -8.8728 -5.6515 -12.2158 -13.4474 -12.5876 -6.8978 2.3629 -14.7487 -9.0474 -9.3258 -6.4908 -0.9410 -7.8037 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6707 3.5918 
16.0000 20.0000 1.0000 2.0000 4.0400 1.0000 7.0000 2 1.0000 1.0000 2.1180 8.1661 3.7430 6.3635 2.7254 3.9977 13.6903 2.9351 7.1920 5.5660 9.7663 -0.2323 3.7612 2.4557 -10.9279 2.9053 -2.7947 6.3900 2.4473 5.3552 7.1479 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6991 3.8359 
16.0000 69.0000 1.0000 2.0000 4.0400 0.0000 6.0000 2 1.0000 1.0000 1.6440 3.7187 3.6340 11.4812 0.6785 0.7427 12.3571 12.2586 -2.1634 0.3248 0.1315 0.4905 3.1164 3.2590 12.8078 1.7301 5.4586 8.2119 2.4045 3.2999 -3.6229 0.3558 0.2678 0.4029 0.2301 0.2730 0.4169 0.2344 0.5044 0.2107 0.4759 0.2643 0.4789 0.2322 0.2900 0.4749 0.2587 0.3263 0.4081 0.2236 6.3290 1.5859 3.2448 
16.0000 24.0000 1.0000 -1.0000 -2.0200 0.0000 8.0000 8 -1.0000 1.0000 2.5400 0.4944 -8.0146 -2.4625 2.9993 -2.4509 7.3651 1.8934 0.7713 -1.5172 -11.9942 1.4151 -1.4707 -6.4728 -2.6476 -2.8482 -0.2885 4.1079 -8.2113 0.9396 -10.9404 0.3747 0.4302 0.2891 0.2204 0.3787 0.5216 0.2740 0.2284 0.5119 0.3428 0.2722 0.3063 0.2058 0.3333 0.2234 0.4571 0.4180 0.2247 0.3185 6.3312 1.4642 4.0237 
16.0000 51.0000 1.0000 -2.0000 -4.0400 0.0000 6.0000 8 -1.0000 1.0000 1.9440 -1.8094 -6.4177 -2.0867 1.6972 -1.0556 2.9741 -7.9616 -9.4934 -0.7352 -11.6317 -6.7723 -5.3711 -4.8922 -7.0560 -5.6035 7.8272 -7.9322 -3.0030 -11.9522 -0.4680 0.4259 0.2795 0.5109 0.2942 0.2464 0.2810 0.4242 0.5095 0.2667 0.2155 0.4700 0.3868 0.2511 0.3542 0.2173 0.3599 0.2454 0.3521 0.2387 6.3294 1.4484 3.3943 
16.0000 15.0000 1.0000 -4.0000 -8.0800 1.0000 6.0000 8 -1.0000 1.0000 1.8880 -6.1850 -5.4803 -16.2911 -7.2927 -15.9312 -13.7194 -10.5415 -1.8395 -12.8606 -7.3587 -14.2297 0.0141 -6.4970 -6.9309 -4.9771 0.2476 -5.5947 -15.3091 -6.6211 -5.6440 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5368 3.4384 
16.0000 21.0000 1.0000 4.0000 8.0800 1.0000 4.0000 2 1.0000 1.0000 1.2270 4.1330 12.0778 17.2894 5.6325 10.0628 1.9208 16.0034 4.4955 4.6772 10.1127 9.4658 7.8147 -2.1295 4.6795 13.9990 1.6936 6.8738 9.8995 14.1244 9.0727 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5796 2.8107 
